#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163715.430;20180524-163716.000;32.88232;-117.234927;3.0;197.8;134.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163715.911;20180524-163717.000;32.882326;-117.234907;3.0;186.9;228.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163716.414;20180524-163717.000;32.882321;-117.234902;3.0;186.9;182.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163716.930;20180524-163718.000;32.882319;-117.2349;3.0;190.4;141.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163717.434;20180524-163718.000;32.882328;-117.234903;3.0;190.4;217.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163717.934;20180524-163719.000;32.882327;-117.234892;3.0;188.2;253.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163718.432;20180524-163719.000;32.882327;-117.234892;3.0;188.2;235.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163718.934;20180524-163720.000;32.882322;-117.234889;3.0;180.6;191.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163719.421;20180524-163720.000;32.882323;-117.23491;3.0;180.6;156.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163719.929;20180524-163721.000;32.882323;-117.23491;4.0;170.7;197.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163720.434;20180524-163721.000;32.882331;-117.234897;4.0;170.7;237.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163720.937;20180524-163722.000;32.882331;-117.234897;4.0;158.0;50.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163721.437;20180524-163722.000;32.88232;-117.234902;4.0;158.0;314.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163721.920;20180524-163723.000;32.882317;-117.234875;4.0;145.5;24.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163722.421;20180524-163723.000;32.882317;-117.234875;4.0;145.5;0.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163722.917;20180524-163724.000;32.882319;-117.234941;5.0;133.2;344.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163723.440;20180524-163724.000;32.882309;-117.234935;5.0;133.2;89.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163723.939;20180524-163725.000;32.882332;-117.234893;5.0;119.5;131.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163724.440;20180524-163725.000;32.882341;-117.234905;5.0;119.5;164.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163724.940;20180524-163726.000;32.882265;-117.234894;5.0;107.1;7.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163725.445;20180524-163726.000;32.882365;-117.234832;5.0;107.1;178.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163725.943;20180524-163727.000;32.88243;-117.234913;5.0;112.2;154.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163726.444;20180524-163727.000;32.882315;-117.234858;5.0;112.2;193.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163726.943;20180524-163728.000;32.882306;-117.234865;5.0;132.0;61.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163727.446;20180524-163728.000;32.882331;-117.23487;5.0;132.0;197.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163727.947;20180524-163729.000;32.882331;-117.23487;4.0;162.4;157.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163728.451;20180524-163729.000;32.882315;-117.234889;4.0;162.4;105.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163728.942;20180524-163730.000;32.882323;-117.234889;4.0;189.6;162.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163729.448;20180524-163730.000;32.882311;-117.234902;4.0;189.6;292.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163729.940;20180524-163731.000;32.88232;-117.234908;3.0;208.2;173.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163730.436;20180524-163731.000;32.882308;-117.234913;3.0;208.2;179.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163730.952;20180524-163732.000;32.882325;-117.234885;3.0;215.9;222.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163731.454;20180524-163732.000;32.882315;-117.234878;3.0;215.9;213.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163731.953;20180524-163733.000;32.882313;-117.23492;3.0;219.7;194.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163732.452;20180524-163733.000;32.882306;-117.234917;3.0;219.7;196.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163732.954;20180524-163734.000;32.882308;-117.234884;3.0;226.1;193.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163733.461;20180524-163734.000;32.88231;-117.234923;3.0;226.1;211.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163733.955;20180524-163735.000;32.882318;-117.23492;3.0;226.9;179.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163734.443;20180524-163735.000;32.88231;-117.23492;3.0;226.9;191.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163734.940;20180524-163736.000;32.882318;-117.234931;3.0;225.7;188.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163735.441;20180524-163736.000;32.882306;-117.234935;3.0;225.7;195.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163735.942;20180524-163737.000;32.88229;-117.234937;3.0;224.9;188.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163736.445;20180524-163737.000;32.882307;-117.234906;3.0;224.9;194.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163736.945;20180524-163738.000;32.882306;-117.234932;3.0;224.0;229.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163737.448;20180524-163738.000;32.882317;-117.234866;3.0;224.0;193.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163737.945;20180524-163739.000;32.882301;-117.234913;3.0;221.7;1.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163738.445;20180524-163739.000;32.882325;-117.234907;3.0;221.7;184.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163738.947;20180524-163740.000;32.882325;-117.234905;3.0;220.3;200.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
